year,1,2,3,4,5,6,7,8,9,10,11,12
2000,12.90000057,13.80000019,15.60000038,16.89999962,17.39999962,16.89999962,16.60000038,16.5,16.70000076,15.60000038,15.69999981,13.60000038
2001,12.80000019,14.90000057,15.19999981,17.20000076,17.39999962,17.70000076,17.10000038,16.89999962,16.60000038,16,15.19999981,14.40000057
2002,13.40000057,13.80000019,15.40000057,17.20000076,18.10000038,17.70000076,17.20000076,17.10000038,16.80000114,16.5,15.30000019,14.30000019
2003,13.19999981,15.10000038,15.69999981,16.70000076,18.70000076,18.10000038,16.80000114,17.20000076,17.20000076,16.5,15.69999981,13
2004,13.40000057,14.40000057,16,17,17.5,17.70000076,16.89999962,17.39999962,17.10000038,16.60000038,15.69999981,14.10000038
2005,13.5,14.30000019,15.90000057,17.5,18.10000038,17.70000076,17.20000076,17.30000114,17.10000038,15.69999981,15,14.40000057
2006,13.69999981,13.69999981,15.60000038,17.20000076,17.60000038,17.20000076,16.89999962,17,17.20000076,16.60000038,14.90000057,14.40000057
2007,13.40000057,14.19999981,15.30000019,17,17.80000114,17.89999962,17.30000114,16.80000114,16.70000076,15.5,14.80000019,14.5
2008,13.60000038,15,15.30000019,17,18.60000038,17.30000114,16.80000114,17.20000076,17.10000038,15.40000057,14.30000019,14
2009,13.60000038,14.40000057,15.19999981,17.5,18.30000114,18,17.70000076,17.10000038,17.5,16.89999962,15,15
